Tabla de datos,Plano,Material,Volumen,Dificultad,Programacion,Posiciones,Tiempo preparacion + mecanizado,Persona,Tolerancia,Operaciones
0.0,PL6776-24,ALUMINIO,0.3451141237711678,0.25,0.36363636363636365,0.0,0.10810810810810811,Jose,0.0,0.0
0.008695652173913044,PL6776-92,ALUMINIO,0.27746628210890084,0.25,0.36363636363636365,0.0,0.10810810810810811,Jose,0.0,0.0
0.01739130434782609,PL6776-77,ALUMINIO,0.0697579642291464,0.0,0.1818181818181818,0.0,0.02702702702702703,Jose,0.0,0.0
0.026086956521739132,PL6776-36,ALUMINIO,0.07923868034435665,0.0,0.1818181818181818,0.0,0.02702702702702703,Jose,0.0,0.0
0.034782608695652174,PL6776-87,ALUMINIO,0.2299056204484665,0.25,0.4545454545454545,0.0,0.05405405405405406,Jose,0.0,0.0
0.04347826086956522,PL6776-40,ALUMINIO,1.0,0.5,0.7272727272727272,0.0,0.16216216216216217,Jose,0.0,1.0
0.052173913043478265,PL6740A-15,ALUMINIO,0.04101561647780576,0.0,0.1818181818181818,0.0,0.02702702702702703,Jose,0.0,0.0
0.06086956521739131,PL6740A-18,ALUMINIO,0.0019635135547885737,0.0,0.09090909090909091,0.0,0.0,Jose,0.0,0.0
0.06956521739130435,PL6833-11,ALUMINIO,0.2527260113185648,0.25,0.4545454545454545,0.0,0.08108108108108109,Jose,0.0,0.0
0.07826086956521738,PL6833-5,ALUMINIO,0.4630859451699748,0.25,0.4545454545454545,0.0,0.10810810810810811,Jose,0.0,0.0
0.08695652173913043,ID0072-10,ALUMINIO,0.04328456547445033,0.25,0.4545454545454545,0.0,0.02702702702702703,Jose,0.0,1.0
0.09565217391304348,PL6834-16,ALUMINIO,0.1438426396603558,0.25,0.2727272727272727,0.0,0.05405405405405406,Jose,0.0,0.0
0.10434782608695652,ID0072-3,ALUMINIO,0.05766621142241286,0.25,0.6363636363636364,0.0,0.08108108108108109,Jose,0.0,1.0
0.11304347826086956,ID0072-9,ALUMINIO,0.16877489844271557,0.5,0.9999999999999999,0.0,0.16216216216216217,Jose,0.0,1.0
0.1217391304347826,IUD0072-2,ALUMINIO,0.04509972467176599,0.25,0.2727272727272727,0.0,0.08108108108108109,Jose,0.0,1.0
0.13043478260869565,ID0072-10,ALUMINIO,0.13227972650437864,0.75,0.7272727272727272,0.0,0.2972972972972973,Jose,0.0,1.0
0.1391304347826087,PL6834-6,ALUMINIO,0.517843974849573,0.25,0.5454545454545454,0.0,0.13513513513513514,Jose,0.0,0.0
0.14782608695652175,PL6834-47,ALUMINIO,0.19652589001706075,0.25,0.36363636363636365,0.0,0.08108108108108109,Jose,0.0,0.0
0.15652173913043477,PL6744-101,ALUMINIO,0.020071471893394303,0.0,0.1818181818181818,0.0,0.02702702702702703,Jose,0.0,0.0
0.16521739130434782,PL6744-14,ALUMINIO,0.02740192249793831,0.0,0.1818181818181818,0.0,0.02702702702702703,Jose,0.0,0.0
0.17391304347826086,PL6776-82,PEEK,0.01744167273901414,0.5,0.4545454545454545,1.0,0.43243243243243246,Jorge,1.0,1.0
0.1826086956521739,PL6863-7,F-114,0.09023435625117265,0.5,0.4545454545454545,0.0,0.43243243243243246,Jorge,1.0,1.0
0.19130434782608696,PL6863-47,F-114,0.054891112264978344,0.75,0.4545454545454545,0.0,0.35135135135135137,Jorge,1.0,1.0
0.2,PL6833-4,F-114,0.014311832132681156,0.75,0.4545454545454545,0.0,0.43243243243243246,Jorge,1.0,1.0
0.20869565217391303,PL6833-10,F-114,0.00590275808203996,0.5,0.4545454545454545,0.0,0.35135135135135137,Jorge,0.0,1.0
0.21739130434782608,PL6833-8,F-114,0.0077667869500525795,0.75,0.4545454545454545,0.0,0.43243243243243246,Jorge,1.0,1.0
0.22608695652173913,PL6831-3,AISI304,0.016144444783817158,0.75,0.4545454545454545,0.0,0.43243243243243246,Jorge,1.0,1.0
0.23478260869565218,PL6831-6,AISI304,0.0077667869500525795,0.75,0.4545454545454545,0.0,0.43243243243243246,Jorge,1.0,1.0
0.2434782608695652,PL6831-8,AISI304,0.00590275808203996,0.5,0.4545454545454545,0.0,0.35135135135135137,Jorge,1.0,1.0
0.25217391304347825,ID0072-13,F-522,0.0009843747954673381,0.5,0.4545454545454545,0.0,0.2702702702702703,Jorge,0.0,1.0
0.2608695652173913,ID0072-4,F-522,0.0,0.5,0.4545454545454545,0.0,0.35135135135135137,Jorge,0.0,1.0
0.26956521739130435,ID0072-15,F-522,0.007675156317495779,1.0,0.9999999999999999,0.0,0.5945945945945946,Jorge,1.0,1.0
0.2782608695652174,ID0072-16,F-522,0.002491480532853945,1.0,0.9999999999999999,0.0,0.43243243243243246,Jorge,1.0,1.0
0.28695652173913044,ID0014,F-522,0.042146600285363975,1.0,0.9999999999999999,0.0,0.5945945945945946,Jorge,1.0,1.0
0.2956521739130435,PL6744-167,F-114,0.014259471771220127,0.25,0.4545454545454545,0.0,0.10810810810810811,Jorge,0.0,1.0
0.30434782608695654,PL6744-210,F-114,0.01248969155383736,0.5,0.4545454545454545,0.0,0.1891891891891892,Jorge,0.0,1.0
0.3130434782608696,PL6744-175,F-114,0.011672869915045314,0.5,0.4545454545454545,0.0,0.1891891891891892,Jorge,0.0,1.0
0.3217391304347826,PL6744-197,F-114,0.010314991207822638,0.5,0.7272727272727272,0.0,0.43243243243243246,Jorge,0.0,1.0
0.33043478260869563,PL6744-176,BRONCE,0.011449465706144926,0.5,0.4545454545454545,0.0,0.2702702702702703,Jorge,0.0,1.0
